ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	3679	1	1	0.000000	180.537102	160.736070	0.000000	0.000000	0	3743	0
2	11146	1	0	0.000000	372.248520	300.966984	0.000000	0.000000	0	23213	0
3	10021	0	0	0.000000	158.619299	146.042112	0.000000	0.000000	0	8925	0
4	3523	1	1	0.000000	237.987794	215.110701	0.000000	0.000000	0	4686	0
5	3914	0	1	0.000000	1434.007920	984.545733	0.000000	0.000000	0	30836	0
6	5570	1	0	0.000000	133.413824	126.829084	0.000000	0.000000	0	4230	0
7	11568	0	0	0.000000	152.483230	137.195712	0.000000	0.000000	0	9907	0
8	3675	0	0	0.000000	366.915646	315.764354	0.000000	0.000000	0	7566	0
9	15920	0	0	0.000000	180.432852	162.491520	0.000000	0.000000	0	16069	0
10	10837	0	0	0.000000	240.198671	202.910953	0.000000	0.000000	0	14646	0
11	5207	0	0	0.000000	305.394085	250.306510	0.000000	0.000000	0	8800	0
12	2526	1	0	0.000000	82.873317	81.179335	0.000000	0.000000	0	1232	0
13	3151	1	0	0.000000	138.781022	128.768962	0.000000	0.000000	0	2625	0
14	3	2	2	0.000000	524.000000	524.000000	0.000000	0.000000	0	79	0
15	10929	0	0	0.000000	195.888645	172.628786	0.000000	0.000000	0	12080	0
16	3435	0	0	0.000000	70.388646	68.399418	0.000000	0.000000	0	1435	0
17	724	0	0	0.000000	42.555249	40.708564	0.000000	0.000000	0	179	0
18	17433	2	0	0.000000	185.038375	163.508232	0.000000	0.000000	0	18265	0
19	6105	0	1	0.000000	75.205405	73.199345	0.000000	0.000000	0	2706	0
20	8	2	2	0.000000	83.125000	83.125000	0.000000	0.000000	0	9	0
21	2	1	1	0.000000	42.000000	42.000000	0.000000	0.000000	0	7	0
22	5	2	2	0.000000	85.000000	85.000000	0.000000	0.000000	0	9	0
23	4	1	1	0.000000	41.000000	41.000000	0.000000	0.000000	0	8	0
24	9	1	1	0.000000	40.111111	40.111111	0.000000	0.000000	0	8	0
25	1193	0	1	0.000000	129.181894	126.488684	0.000000	0.000000	0	863	0
26	830	0	2	0.000000	176.957831	150.924096	0.000000	0.000000	0	774	0
27	4267	0	0	0.000000	127.989454	113.590345	0.000000	0.000000	0	3049	0
28	1616	1	2	0.000000	489.527228	358.180693	0.000000	0.000000	0	4918	0
29	1	2	4	0.000000	74.000000	74.000000	0.000000	0.000000	0	9	0
30	2249	0	0	0.000000	241.794575	225.266341	0.000000	0.000000	0	3081	0
31	2215	0	0	0.000000	102.646953	99.950339	0.000000	0.000000	0	1275	0
32	2143	1	0	0.000000	168.230518	153.063929	0.000000	0.000000	0	2094	0
33	1738	0	0	0.000000	107.515535	99.413119	0.000000	0.000000	0	1094	0
34	5708	0	0	0.000000	115.059040	111.953749	0.000000	0.000000	0	3730	0
35	157	0	0	0.000000	54.350318	54.210191	0.000000	0.000000	0	68	0
36	912	0	0	0.000000	70.548246	67.505482	0.000000	0.000000	0	423	0
37	1330	0	1	0.000000	122.224060	117.375188	0.000000	0.000000	0	930	0
38	1	1	1	0.000000	206.000000	206.000000	0.000000	0.000000	0	5	0
39	1996	0	0	0.000000	62.517034	59.985972	0.000000	0.000000	0	760	0
40	929	2	1	0.000000	47.805167	47.270183	0.000000	0.000000	0	348	0
41	23	1	1	0.000000	92.782609	83.478261	0.000000	0.000000	0	150	0
42	178	0	0	0.000000	38.539326	38.258427	0.000000	0.000000	0	30	0
43	9	1	1	0.000000	3831.666667	3827.777778	0.000000	0.000000	0	408	0
44	7	2	2	0.000000	4273.428571	4264.857143	0.000000	0.000000	0	470	0
45	1	2	2	0.000000	643.000000	643.000000	0.000000	0.000000	0	97	0
46	7	1	1	0.000000	110.428571	110.428571	0.000000	0.000000	0	53	0
47	2	2	2	0.000000	165.500000	165.500000	0.000000	0.000000	0	57	0
48	2	2	2	0.000000	789.500000	309.500000	0.000000	0.000000	0	101	0
49	5	2	2	0.000000	119.800000	119.800000	0.000000	0.000000	0	25	0
50	1	1	1	0.000000	93.000000	93.000000	0.000000	0.000000	0	24	0
51	4235	0	1	0.000000	89.365525	2.396694	0.000000	0.000000	0	2205	0
52	2	1	1	0.000000	468.500000	468.500000	0.000000	0.000000	0	71	0
